Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,E[M],sigmaM,DN,Source
1828,7,8,0,0,0.0,22.6,88.4,5.25,0.5,118,EPRI
1828,8,22,0,0,0.0,13.0,75.0,5.25,0.5,106,EPRI
1829,12,1,0,0,0.0,53.8,82.4,4.95,0.44,156,EPRI
1831,5,8,0,0,0.0,47.3,-70.5,5.25,0.5,227,EPRI
1833,10,4,0,0,0.0,27.0,85.0,6.41,0.51,112,EPRI
1833,10,18,0,0,0.0,27.0,84.0,5.81,0.5,112,EPRI
1834,9,3,0,0,0.0,61.0,6.0,5.15,0.32,179,EPRI
1838,6,9,0,0,0.0,38.5,-89.0,5.12,0.48,230,EPRI
1841,4,3,0,0,0.0,56.9,8.0,4.64,0.32,190,EPRI
1842,5,21,0,0,0.0,25.0,87.0,5.25,0.5,111,EPRI
1843,1,5,0,0,0.0,35.5,-90.5,6.0,0.17,228,EPRI
1843,3,31,0,0,0.0,15.2,76.9,5.29,0.32,106,EPRI
1845,6,19,0,0,0.0,23.78,68.83,5.53,0.5,114,EPRI
1845,8,6,0,0,0.0,22.7,88.4,5.25,0.5,118,EPRI
1846,0,0,0,0,0.0,31.6,106.0,5.22,0.44,131,EPRI
1846,5,27,0,0,0.0,23.0,80.0,5.25,0.5,111,EPRI
1846,7,29,0,0,0.0,50.2,7.7,4.55,0.32,195,EPRI
1848,4,26,0,0,0.0,24.4,72.7,5.48,0.44,113,EPRI
1850,1,18,0,0,0.0,58.5,121.0,5.55,0.44,147,EPRI
1852,4,29,0,0,0.0,36.7,-82.0,5.21,0.26,224,EPRI
1852,11,9,0,0,0.0,53.23,-4.12,4.99,0.32,185,EPRI
1853,4,1,0,0,0.0,49.27,-1.82,4.72,0.32,196,EPRI
1854,11,24,0,0,0.0,29.1,107.1,5.25,0.5,131,EPRI
1855,2,8,0,0,0.0,46.0,-64.5,4.9,0.32,221,EPRI
1855,12,11,0,0,0.0,39.1,121.6,5.25,0.5,133,EPRI
1856,6,10,0,0,0.0,29.7,108.8,4.79,0.32,130,EPRI
1856,12,25,0,0,0.0,21.15,72.9,5.12,0.5,115,EPRI
1857,10,8,0,0,0.0,38.7,-89.2,5.13,0.32,230,EPRI
1858,11,11,0,0,0.0,38.2,-9.0,7.09,0.32,199,EPRI
1859,11,21,0,0,0.0,-40.7,145.2,4.73,0.32,26,EPRI
1860,0,0,0,0,0.0,45.97,-94.82,4.98,0.5,236,EPRI
1860,10,17,0,0,0.0,47.5,-70.1,6.08,0.48,227,EPRI
1861,2,16,0,0,0.0,22.6,88.4,5.25,0.5,118,EPRI
1861,7,13,0,0,0.0,45.4,-75.4,4.71,0.48,227,EPRI
1861,7,19,0,0,0.0,39.1,121.7,5.81,0.5,133,EPRI
1861,8,31,0,0,0.0,36.2,-81.2,5.63,0.26,223,EPRI
1862,7,10,0,0,0.0,7.0,0.4,6.75,0.32,92,EPRI
1863,10,6,0,0,0.0,51.97,-2.88,4.89,0.32,187,EPRI
1863,11,18,0,0,0.0,21.8,75.3,5.53,0.5,120,EPRI
1864,4,29,0,0,0.0,22.3,72.8,4.98,0.5,115,EPRI
1864,12,7,0,0,0.0,33.3,45.9,5.91,0.47,81,EPRI
1865,5,7,0,0,0.0,59.5,4.8,4.92,0.32,179,EPRI
1865,8,17,0,0,0.0,36.0,-89.5,5.21,0.32,228,EPRI
1866,3,9,0,0,0.0,63.3,6.7,5.75,0.32,183,EPRI
1866,5,23,0,0,0.0,25.0,87.0,5.67,0.5,111,EPRI
